id_file,date,venue,team1,team2,toss_winner,toss_decision,match_winner
1324683,2023-02-02,Sydney Cricket Ground,Sydney Sixers,Brisbane Heat,Sydney Sixers,bat,Brisbane Heat
1324684,2023-02-04,Perth Stadium,Brisbane Heat,Perth Scorchers,Brisbane Heat,bat,Perth Scorchers
1386094,2023-12-07,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Melbourne Stars,Melbourne Stars,field,Brisbane Heat
1386095,2023-12-08,Sydney Cricket Ground,Sydney Sixers,Melbourne Renegades,Melbourne Renegades,field,Sydney Sixers
1386098,2023-12-11,"University of Tasmania Stadium, Launceston",Hobart Hurricanes,Sydney Sixers,Hobart Hurricanes,bat,Sydney Sixers
1386099,2023-12-12,"Manuka Oval, Canberra",Brisbane Heat,Sydney Thunder,Sydney Thunder,field,Brisbane Heat
1386100,2023-12-13,Melbourne Cricket Ground,Melbourne Stars,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
1386101,2023-12-19,Adelaide Oval,Sydney Thunder,Adelaide Strikers,Sydney Thunder,bat,Adelaide Strikers
1386102,2023-12-20,Perth Stadium,Hobart Hurricanes,Perth Scorchers,Hobart Hurricanes,bat,Perth Scorchers
1386103,2023-12-21,"Docklands Stadium, Melbourne",Melbourne Renegades,Brisbane Heat,Brisbane Heat,field,Brisbane Heat
1386104,2023-12-22,Sydney Cricket Ground,Sydney Sixers,Adelaide Strikers,Adelaide Strikers,field,Sydney Sixers
1386105,2023-12-23,"Lavington Sports Oval, Albury",Melbourne Stars,Sydney Thunder,Melbourne Stars,bat,Sydney Thunder
1386106,2023-12-23,"Bellerive Oval, Hobart",Melbourne Renegades,Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes
1386107,2023-12-26,Sydney Cricket Ground,Sydney Sixers,Melbourne Stars,Melbourne Stars,field,Melbourne Stars
1386108,2023-12-26,Perth Stadium,Perth Scorchers,Melbourne Renegades,Melbourne Renegades,field,Perth Scorchers
1386109,2023-12-27,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Sydney Thunder,Brisbane Heat,bat,Brisbane Heat
1386110,2023-12-28,"Bellerive Oval, Hobart",Hobart Hurricanes,Melbourne Stars,Melbourne Stars,field,Melbourne Stars
1386111,2023-12-29,"Docklands Stadium, Melbourne",Adelaide Strikers,Melbourne Renegades,Adelaide Strikers,bat,Melbourne Renegades
1386113,2023-12-31,Adelaide Oval,Adelaide Strikers,Melbourne Stars,Melbourne Stars,field,Melbourne Stars
1386114,2024-01-01,"Bellerive Oval, Hobart",Sydney Thunder,Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes
1386116,2024-01-02,Melbourne Cricket Ground,Melbourne Renegades,Melbourne Stars,Melbourne Stars,field,Melbourne Stars
1386117,2024-01-03,"International Sports Stadium, Coffs Harbour",Sydney Sixers,Brisbane Heat,Brisbane Heat,field,Brisbane Heat
1386118,2024-01-03,Perth Stadium,Perth Scorchers,Adelaide Strikers,Adelaide Strikers,field,Perth Scorchers
1386119,2024-01-04,"Docklands Stadium, Melbourne",Melbourne Renegades,Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes
1386120,2024-01-05,Adelaide Oval,Perth Scorchers,Adelaide Strikers,Adelaide Strikers,field,Adelaide Strikers
1386121,2024-01-06,Melbourne Cricket Ground,Melbourne Stars,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
1386122,2024-01-07,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Hobart Hurricanes,Hobart Hurricanes,field,Brisbane Heat
1386123,2024-01-08,Sydney Showground Stadium,Sydney Thunder,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
1386124,2024-01-09,Adelaide Oval,Hobart Hurricanes,Adelaide Strikers,Adelaide Strikers,field,Adelaide Strikers
1386125,2024-01-10,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Perth Scorchers,Brisbane Heat,bat,Brisbane Heat
1386126,2024-01-11,"Bellerive Oval, Hobart",Hobart Hurricanes,Adelaide Strikers,Adelaide Strikers,field,Adelaide Strikers
1386127,2024-01-12,Sydney Cricket Ground,Sydney Sixers,Sydney Thunder,Sydney Thunder,field,Sydney Sixers
1386128,2024-01-13,Perth Stadium,Perth Scorchers,Brisbane Heat,Perth Scorchers,bat,Perth Scorchers
1386129,2024-01-13,"Docklands Stadium, Melbourne",Melbourne Stars,Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades
1386130,2024-01-14,"Manuka Oval, Canberra",Sydney Thunder,Adelaide Strikers,Sydney Thunder,bat,Adelaide Strikers
1386131,2024-01-15,Melbourne Cricket Ground,Hobart Hurricanes,Melbourne Stars,Melbourne Stars,field,Hobart Hurricanes
1386132,2024-01-16,Perth Stadium,Perth Scorchers,Sydney Sixers,Perth Scorchers,bat,Sydney Sixers
1386134,2024-01-19,Carrara Oval,Sydney Sixers,Brisbane Heat,Brisbane Heat,field,Sydney Sixers
1386135,2024-01-20,Perth Stadium,Adelaide Strikers,Perth Scorchers,Perth Scorchers,field,Adelaide Strikers
1386136,2024-01-22,Carrara Oval,Brisbane Heat,Adelaide Strikers,Brisbane Heat,bat,Brisbane Heat
1386137,2024-01-24,Sydney Cricket Ground,Brisbane Heat,Sydney Sixers,Sydney Sixers,field,Brisbane Heat
1443057,2024-12-15,Perth Stadium,Melbourne Stars,Perth Scorchers,Melbourne Stars,bat,Perth Scorchers
1443058,2024-12-16,Sydney Cricket Ground,Melbourne Renegades,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
1443059,2024-12-17,"Manuka Oval, Canberra",Adelaide Strikers,Sydney Thunder,Sydney Thunder,field,Sydney Thunder
1443060,2024-12-18,Melbourne Cricket Ground,Melbourne Stars,Brisbane Heat,Brisbane Heat,field,Brisbane Heat
1443061,2024-12-19,"GMHBA Stadium, South Geelong, Victoria",Hobart Hurricanes,Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades
1443062,2024-12-20,Adelaide Oval,Adelaide Strikers,Melbourne Stars,Melbourne Stars,field,Adelaide Strikers
1443063,2024-12-21,"Bellerive Oval, Hobart",Perth Scorchers,Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes
1443064,2024-12-21,Sydney Showground Stadium,Sydney Thunder,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
1443065,2024-12-22,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Adelaide Strikers,Brisbane Heat,Brisbane Heat,field,Brisbane Heat
1443066,2024-12-23,"Docklands Stadium, Melbourne",Perth Scorchers,Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades
1443067,2024-12-26,Sydney Cricket Ground,Melbourne Stars,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
1443068,2024-12-26,Perth Stadium,Perth Scorchers,Brisbane Heat,Brisbane Heat,field,Perth Scorchers
1443069,2024-12-27,Adelaide Oval,Hobart Hurricanes,Adelaide Strikers,Adelaide Strikers,field,Hobart Hurricanes
1443070,2024-12-28,"Manuka Oval, Canberra",Sydney Thunder,Melbourne Stars,Melbourne Stars,field,Sydney Thunder
1443071,2024-12-29,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
1443072,2024-12-30,Sydney Showground Stadium,Sydney Thunder,Melbourne Renegades,Melbourne Renegades,field,Sydney Thunder
1443073,2024-12-31,Adelaide Oval,Adelaide Strikers,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
1443074,2025-01-01,"Bellerive Oval, Hobart",Hobart Hurricanes,Sydney Sixers,Sydney Sixers,field,Hobart Hurricanes
1443075,2025-01-01,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Melbourne Stars,Melbourne Stars,field,Melbourne Stars
1443076,2025-01-02,"Docklands Stadium, Melbourne",Melbourne Renegades,Adelaide Strikers,Adelaide Strikers,field,Adelaide Strikers
1443078,2025-01-03,Perth Stadium,Perth Scorchers,Sydney Thunder,Sydney Thunder,field,Sydney Thunder
1443079,2025-01-04,Melbourne Cricket Ground,Melbourne Renegades,Melbourne Stars,Melbourne Stars,field,Melbourne Stars
1443080,2025-01-05,"Bellerive Oval, Hobart",Adelaide Strikers,Hobart Hurricanes,Adelaide Strikers,bat,Hobart Hurricanes
1443081,2025-01-06,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Sydney Thunder,Brisbane Heat,Brisbane Heat,field,Brisbane Heat
1443082,2025-01-07,Perth Stadium,Perth Scorchers,Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades
1443084,2025-01-09,Melbourne Cricket Ground,Melbourne Stars,Sydney Sixers,Sydney Sixers,field,Melbourne Stars
1443085,2025-01-10,"Bellerive Oval, Hobart",Sydney Thunder,Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes
1443086,2025-01-11,Sydney Cricket Ground,Sydney Sixers,Perth Scorchers,Perth Scorchers,field,Sydney Sixers
1443087,2025-01-11,Adelaide Oval,Adelaide Strikers,Brisbane Heat,Brisbane Heat,field,Adelaide Strikers
1443088,2025-01-12,"Docklands Stadium, Melbourne",Melbourne Stars,Melbourne Renegades,Melbourne Renegades,field,Melbourne Stars
1443089,2025-01-13,Sydney Showground Stadium,Sydney Thunder,Perth Scorchers,Perth Scorchers,field,Sydney Thunder
1443090,2025-01-14,"Bellerive Oval, Hobart",Melbourne Renegades,Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes
1443091,2025-01-15,Adelaide Oval,Adelaide Strikers,Sydney Sixers,Sydney Sixers,field,Sydney Sixers
1443092,2025-01-16,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane Heat,Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes
1443094,2025-01-18,"Docklands Stadium, Melbourne",Brisbane Heat,Melbourne Renegades,Melbourne Renegades,field,Melbourne Renegades
1443095,2025-01-18,Perth Stadium,Adelaide Strikers,Perth Scorchers,Perth Scorchers,field,Perth Scorchers
1443096,2025-01-19,Melbourne Cricket Ground,Melbourne Stars,Hobart Hurricanes,Hobart Hurricanes,field,Melbourne Stars
1443097,2025-01-21,"Bellerive Oval, Hobart",Hobart Hurricanes,Sydney Sixers,Sydney Sixers,field,Hobart Hurricanes
1443098,2025-01-22,Sydney Showground Stadium,Sydney Thunder,Melbourne Stars,Melbourne Stars,field,Sydney Thunder
1443099,2025-01-24,Sydney Cricket Ground,Sydney Sixers,Sydney Thunder,Sydney Thunder,field,Sydney Thunder
1443100,2025-01-27,"Bellerive Oval, Hobart",Sydney Thunder,Hobart Hurricanes,Hobart Hurricanes,field,Hobart Hurricanes
